entry_time,exit_time,direction,size,entry_price,exit_price,reason,pnl,cash_after
2025-01-06T10:01:00+03:00,2025-01-06T10:41:00+03:00,Long,1,103.8300,103.1240,stop_loss,-0.7060,29999.29
2025-01-08T10:01:00+03:00,2025-01-08T10:11:00+03:00,Long,1,102.8300,103.1179,take_profit,0.2879,29999.58
2025-01-10T10:01:00+03:00,2025-01-10T10:30:00+03:00,Long,1,102.6900,102.9775,take_profit,0.2875,29999.87
2025-01-13T10:01:00+03:00,2025-01-13T10:16:00+03:00,Long,1,103.2300,103.5190,take_profit,0.2890,30000.16
2025-01-14T10:01:00+03:00,2025-01-14T10:40:00+03:00,Short,1,103.7200,104.3942,stop_loss,-0.6742,29999.48
2025-01-15T10:01:00+03:00,2025-01-15T13:11:00+03:00,Long,1,103.9400,104.2310,take_profit,0.2910,29999.78
2025-01-17T10:01:00+03:00,2025-01-17T10:15:00+03:00,Long,1,103.7100,104.0004,take_profit,0.2904,30000.07
2025-01-20T10:01:00+03:00,2025-01-20T15:45:00+03:00,Long,1,102.9600,102.2599,stop_loss,-0.7001,29999.37
2025-01-21T10:01:00+03:00,2025-01-21T12:41:00+03:00,Long,1,102.0800,101.3859,stop_loss,-0.6941,29998.67
2025-01-22T10:01:00+03:00,2025-01-22T12:51:00+03:00,Short,1,100.3700,100.0890,take_profit,0.2810,29998.95
2025-01-23T10:01:00+03:00,2025-01-23T19:30:00+03:00,Short,1,100.6500,101.3042,stop_loss,-0.6542,29998.30
2025-01-24T10:01:00+03:00,2025-01-24T10:34:00+03:00,Short,1,101.0100,100.7272,take_profit,0.2828,29998.58
2025-01-27T10:01:00+03:00,2025-01-27T10:45:00+03:00,Long,1,100.5300,99.8464,stop_loss,-0.6836,29997.90
2025-01-28T10:01:00+03:00,2025-01-28T10:14:00+03:00,Long,1,100.0700,100.3502,take_profit,0.2802,29998.18
2025-01-29T10:01:00+03:00,2025-01-29T10:45:00+03:00,Short,1,99.4900,99.2114,take_profit,0.2786,29998.46
2025-01-30T10:01:00+03:00,2025-01-30T11:14:00+03:00,Long,1,99.4800,99.7585,take_profit,0.2785,29998.73
